cinema_name,street,suburb,postcode,cinema_type,latitude,longitude,state
W. St. Hill,nan,Hamilton,7140,Touring Circuit,-42.555893,146.83427700000001,TAS
W. St. Hill,nan,Colebrook,7027,Touring Circuit,-42.534687,147.362789,TAS
R. Perry,nan,Colebrook,7027,Touring Circuit,-42.534517,147.363505,TAS
"Cowling, Cruickshank & Douglas",nan,Colebrook,7027,Touring Circuit,-42.534351,147.364112,TAS
Campbell Town and Circuit,nan,Kempton,7030,Touring Circuit,-42.529354999999995,147.199551,TAS
"Cowling, Cruickshank & Douglas",nan,Tribunna,7190,Touring Circuit,-42.508049,147.911892,TAS
Public Hall,nan,Triabunna,7190,Indoor Cinema,-42.508005,147.91315600000001,TAS
Frank Ward,nan,Triabunna,7190,Touring Circuit,-42.507383000000004,147.91156,TAS
"Cowling, Cruickshank & Douglas",nan,Ouse,7140,Touring Circuit,-42.485845,146.7137,TAS
W. St. Hill,nan,Ouse,7140,Touring Circuit,-42.48583,146.71315800000002,TAS
W. St. Hill,nan,Tunnack,7120,Touring Circuit,-42.454439,147.461533,TAS
Cowling and Maum,nan,Tunnack,7120,Touring Circuit,-42.453931,147.461566,TAS
R. Perry,nan,Tunnack,7120,Touring Circuit,-42.453326000000004,147.461549,TAS
Campbell Town and Circuit,nan,Bothwell,7030,Touring Circuit,-42.384368,147.009084,TAS
W. St. Hill,nan,Parratah,7120,Touring Circuit,-42.356435,147.406804,TAS
Cowling and Maum,nan,Parratah,7120,Touring Circuit,-42.355764,147.40679699999998,TAS
R. Perry,nan,Parattah,7120,Touring Circuit,-42.354654,147.406662,TAS
Roxy,nan,Oatlands,7120,Indoor Cinema,-42.300245000000004,147.370999,TAS
Hydro Electric,nan,Tarraleah,7140,Touring Circuit,-42.297051,146.44592600000001,TAS
Pontifex,nan,Strahan,7468,Indoor Cinema,-42.153477,145.328124,TAS
W. St. Hill,nan,Tunbridge,7120,Touring Circuit,-42.141653000000005,147.421897,TAS
R. Perry,nan,Tunbridge,7120,Touring Circuit,-42.141521999999995,147.421623,TAS
Cowling and Maum,nan,Tunbridge,7120,Touring Circuit,-42.141375,147.421349,TAS
Regent,nan,Swansea,7190,Indoor Cinema,-42.123984,148.076128,TAS
Paragon,McNamara Street,Queenstown,7467,Indoor Cinema,-42.082201,145.55281200000002,TAS
Capitol,nan,Queenstown,7467,Indoor Cinema,-42.080026000000004,145.556354,TAS
A. D. & A. E. Bye,nan,Anywhere in Tasmania.,nan,Touring Circuit,-42.079677000000004,146.559406,TAS
Mount Lyell Hall,nan,Gormanston,7466,Indoor Cinema,-42.073145000000004,145.592841,TAS
Campbell Town and Circuit,nan,Ross,7209,Touring Circuit,-42.027962,147.492865,TAS
Touring,nan,Campbelltown,7210,Indoor Cinema,-41.928957000000004,147.4936,TAS
Campbell Town and Circuit,nan,Campbell Town,7210,Touring Circuit,-41.92669,147.491738,TAS
Gaiety,nan,Zeehan,7469,Indoor Cinema,-41.88601,145.337973,TAS
Tasma,nan,Williamsford,7470,Indoor Cinema,-41.821612,145.51613700000001,TAS
Campbell Town and Circuit,nan,Avoca,7213,Touring Circuit,-41.782268,147.720271,TAS
Tasma,nan,Rosebery,7470,Indoor Cinema,-41.779208000000004,145.540157,TAS
Tasma,nan,Tullah,7321,Indoor Cinema,-41.739064,145.614948,TAS
Campbell Town and Circuit,nan,Cressy,7302,Touring Circuit,-41.685972,147.08031,TAS
Public Hall,nan,Rossarden,7213,Indoor Cinema,-41.668711,147.746699,TAS
Campbell Town and Circuit,nan,Bracknell,7302,Touring Circuit,-41.648266,146.93862,TAS
Hall,nan,Fingal,7214,Indoor Cinema,-41.637209000000006,147.976463,TAS
Storey's Creek,nan,Storey's Creek,7213,Indoor Cinema,-41.63,147.73,TAS
Foresters,nan,Longford,7301,Indoor Cinema,-41.595872,147.121959,TAS
City Pictures,nan,Saint Mary's,7215,Indoor Cinema,-41.580015,148.18473600000002,TAS
Campbell Town and Circuit,nan,Evandale,7212,Touring Circuit,-41.570986,147.24883400000002,TAS
Memorial Hall,nan,Mole Creek,7304,Indoor Cinema,-41.556883,146.40784299999999,TAS
Town Hall,nan,Westbury,7303,Indoor Cinema,-41.52609,146.833943,TAS
Town Hall,nan,Deloraine,7304,Indoor Cinema,-41.524747999999995,146.658808,TAS
Athenaeum,nan,Waratah,7321,Indoor Cinema,-41.444351,145.530956,TAS
Tatler,"Tatler Arcade, St John Street",Launceston,7250,Indoor Cinema,-41.438023,147.138874,TAS
Majestic,Brisbane Street,Launceston,7250,Indoor Cinema,-41.436515,147.139963,TAS
Princess,57 Brisbane Street,Launceston,7250,Indoor Cinema,-41.436344,147.140516,TAS
Plaza,Corner of Brisbane Street and George Street,Launceston,7250,Indoor Cinema,-41.4359522,147.14054299999998,TAS
Village,nan,Launceston,7250,Drive-In,-41.435296,147.145197,TAS
Star,nan,lnvermay,7248,Indoor Cinema,-41.420612,147.135346,TAS
Village,nan,Mowbray,7248,Drive-In,-41.401466,147.130225,TAS
