id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
45,-42.791499,147.253824,8,2,1,,Claremont,7011,Memorial Hall,Messrs. Jacobson,NULL,TAS,Indoor Cinema,Suburban,0
46,-42.786133,147.559101,8,3,1,,Sorrell,7172,Public Hall,F. Ward,180,TAS,Indoor Cinema,Rural,1
47,-42.786054,147.560559,8,3,3,,Sorrell,7172,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
48,-42.780683,147.06365,8,3,1,,New Norfolk,7140,Plaza,Mrs. R. M. Hall,600,TAS,Indoor Cinema,Rural,1
49,-42.755046,146.627228,8,3,1,,Maydena,7140,Local Hall,Recreational Council,280,TAS,Indoor Cinema,Rural,0
50,-42.749146,146.646572,8,3,3,,Fitzgerald,7140,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",200,TAS,Touring Circuit,Rural,1
51,-42.748166,146.648558,8,3,3,,Fitzgerald,7140,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,0
52,-42.73922,146.954712,8,3,3,,Plenty,7140,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
53,-42.735864,147.437049,8,3,3,,Richmond,7205,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
54,-42.709201,146.897743,8,3,3,,Bushy Park,7140,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
55,-42.708937,146.897724,8,3,1,,Bushy Park,7140,Pictures,C. G. Youd & Nunn,250,TAS,Indoor Cinema,Rural,0
56,-42.701681,147.262243,8,3,3,,Brighton,7030,Cruickshank & Douglas,Cruickshank & Douglas,NULL,TAS,Touring Circuit,Rural,1
57,-42.701678,147.26224,8,3,3,,Brighton,7030,Frank Ward,"Auvergne Ave., New Town, Hobart",180,TAS,Touring Circuit,Rural,0
58,-42.686165,147.265294,8,3,3,,Pontville,7030,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
59,-42.68491,147.265799,8,3,1,,Pontville,7030,Hall,(Now Perry's Circuit),NULL,TAS,Indoor Cinema,Rural,0
60,-42.674129,146.790596,8,3,1,,Westerway,7140,E. C. Nunn,E. C. Nunn,150,TAS,Indoor Cinema,Rural,1
61,-42.662799,147.422384,8,3,3,,Campania,7026,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
62,-42.617453,146.715971,8,3,3,,Ellendale,7140,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",150,TAS,Touring Circuit,Rural,1
63,-42.617151,146.71595,8,3,3,,Ellendale,7140,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,0
64,-42.616904,146.715883,8,3,1,,Ellendale,7140,Public Hall,K. A. Cruickshank,100,TAS,Indoor Cinema,Rural,1
65,-42.607681,147.717368,8,3,3,,Buckland,7190,Cruickshank & Douglas,Cruickshank & Douglas,NULL,TAS,Touring Circuit,Rural,0
66,-42.607678,147.717365,8,3,3,,Buckland,7190,Frank Ward,"Auvergne Ave., New Town, Hobart",130,TAS,Touring Circuit,Rural,1
67,-42.603258,147.074417,8,3,3,,Elderslie,7030,Frank Ward,"Auvergne Ave., New Town, Hobart",NULL,TAS,Touring Circuit,Rural,0
68,-42.602877,147.074478,8,3,3,,Elderslie,7030,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,1
69,-42.557515,146.832882,8,3,3,,Hamilton,7140,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
70,-42.55692,146.833651,8,3,3,,Hamilton,7140,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,1
